iter	Passed	Remaining
0	60	60858
1	61	30598
2	61	20488
3	62	15441
4	62	12406
5	62	10379
6	62	8935
7	63	7855
8	63	7015
9	64	6340
10	64	5787
11	64	5328
12	65	4938
13	65	4606
14	65	4316
15	66	4064
16	66	3839
17	66	3640
18	67	3461
19	67	3303
20	67	3157
21	68	3026
22	68	2905
23	68	2795
24	69	2695
25	69	2601
26	69	2515
27	70	2435
28	70	2360
29	70	2290
30	71	2225
31	71	2163
32	71	2104
33	72	2050
34	72	1998
35	72	1949
36	73	1904
37	73	1860
38	73	1819
39	74	1780
40	74	1743
41	74	1707
42	75	1673
43	75	1640
44	75	1608
45	76	1579
46	76	1551
47	76	1523
48	77	1499
49	77	1476
50	78	1453
51	78	1431
52	78	1408
53	79	1387
54	79	1366
55	79	1346
56	80	1326
57	80	1309
58	80	1291
59	81	1275
60	81	1260
61	82	1244
62	82	1230
63	83	1215
64	83	1200
65	83	1186
66	84	1171
67	84	1155
68	84	1141
69	84	1128
70	85	1115
71	85	1103
72	85	1090
73	86	1078
74	86	1067
75	86	1056
76	87	1045
77	87	1035
78	87	1024
79	88	1014
80	88	1004
81	88	994
82	89	985
83	89	975
84	89	964
85	89	956
86	90	945
87	90	938
88	90	930
89	91	922
90	91	915
91	91	907
92	92	900
93	92	892
94	92	885
95	93	878
96	93	871
97	93	865
98	94	858
99	94	851
100	94	845
101	95	837
102	95	831
103	95	825
104	96	819
105	96	813
106	96	808
107	97	802
108	97	796
109	97	791
110	98	786
111	98	780
112	98	775
113	99	770
114	99	765
115	99	759
116	100	754
117	100	750
118	100	744
119	100	739
120	101	735
121	101	730
122	101	725
123	102	721
124	102	717
125	103	717
126	103	713
127	103	708
128	104	704
129	104	700
130	104	696
131	105	692
132	105	688
133	105	684
134	106	680
135	106	677
136	107	674
137	107	669
138	107	666
139	107	662
140	108	659
141	109	659
142	109	656
143	109	652
144	110	649
145	110	645
146	110	642
147	111	639
148	111	635
149	111	632
150	112	629
151	112	626
152	112	623
153	112	620
154	113	617
155	113	614
156	113	611
157	114	608
158	114	606
159	114	603
160	115	600
161	115	597
162	115	595
163	116	592
164	116	589
165	116	586
166	117	584
167	117	581
168	117	579
169	118	576
170	118	574
171	118	571
172	119	569
173	119	567
174	119	564
175	120	562
176	120	560
177	120	557
178	121	555
179	121	553
180	121	550
181	121	548
182	122	545
183	122	543
184	122	541
185	123	539
186	123	536
187	123	534
188	124	532
189	124	530
190	124	528
191	125	526
192	125	524
193	125	522
194	126	520
195	126	518
196	126	516
197	127	514
198	127	512
199	127	510
200	127	508
201	128	506
202	128	505
203	129	503
204	129	501
205	129	499
206	129	497
207	130	496
208	130	494
209	130	492
210	131	490
211	131	489
212	131	487
213	132	485
214	132	484
215	132	482
216	133	480
217	133	479
218	133	477
219	134	475
220	134	474
221	134	472
222	135	470
223	135	469
224	135	467
225	136	466
226	136	464
227	136	462
228	136	461
229	137	459
230	137	458
231	137	456
232	138	455
233	138	453
234	138	452
235	139	450
236	139	449
237	140	448
238	140	446
239	140	445
240	140	443
241	141	442
242	141	440
243	141	439
244	142	438
245	142	436
246	142	435
247	143	434
248	143	432
249	143	431
250	144	430
251	144	429
252	144	427
253	145	426
254	145	425
255	145	423
256	146	422
257	146	421
258	146	419
259	147	418
260	147	417
261	147	416
262	148	414
263	148	413
264	148	412
265	149	411
266	149	410
267	149	409
268	150	407
269	150	406
270	150	405
271	151	404
272	151	403
273	151	402
274	152	401
275	152	399
276	152	398
277	153	397
278	153	396
279	153	395
280	154	394
281	154	393
282	154	392
283	155	391
284	155	390
285	155	388
286	156	387
287	156	386
288	156	385
289	157	384
290	157	383
291	157	382
292	158	381
293	158	380
294	158	379
295	159	378
296	159	377
297	159	376
298	159	375
299	160	374
300	160	373
301	160	372
302	161	371
303	161	370
304	161	369
305	162	368
306	162	367
307	162	366
308	163	365
309	163	364
310	163	363
311	164	362
312	164	361
313	164	360
314	165	359
315	165	358
316	165	357
317	166	356
318	166	355
319	166	354
320	167	353
321	167	352
322	167	351
323	168	350
324	168	349
325	168	348
326	169	347
327	169	346
328	169	346
329	170	345
330	170	344
331	170	343
332	171	342
333	171	341
334	172	342
335	172	341
336	173	340
337	173	339
338	173	339
339	174	338
340	174	337
341	174	336
342	175	335
343	175	334
344	175	333
345	176	332
346	176	332
347	176	331
348	177	330
349	177	329
350	177	328
351	178	327
352	178	327
353	178	326
354	179	325
355	179	324
356	179	323
357	180	323
358	180	322
359	180	321
360	181	320
361	181	319
362	181	318
363	182	318
364	182	317
365	182	316
366	183	315
367	183	315
368	183	314
369	184	313
370	184	312
371	184	311
372	185	311
373	185	310
374	185	309
375	186	308
376	186	308
377	186	307
378	187	306
379	187	306
380	187	305
381	188	304
382	188	303
383	188	302
384	189	302
385	189	301
386	189	300
387	190	299
388	190	299
389	190	298
390	191	297
391	191	296
392	191	296
393	192	295
394	192	294
395	192	293
396	193	293
397	193	292
398	193	291
399	194	291
400	194	291
401	195	290
402	195	289
403	195	288
404	196	288
405	196	287
406	196	286
407	197	286
408	197	285
409	197	284
410	198	283
411	198	283
412	198	282
413	198	281
414	199	280
415	199	280
416	199	279
417	200	278
418	200	278
419	200	277
420	201	276
421	201	276
422	202	275
423	202	274
424	202	274
425	202	273
426	203	272
427	203	272
428	203	271
429	204	270
430	204	270
431	204	269
432	205	268
433	205	268
434	205	267
435	206	266
436	206	266
437	206	265
438	207	264
439	207	264
440	207	263
441	208	262
442	208	262
443	208	261
444	209	260
445	209	260
446	209	259
447	210	258
448	210	258
449	210	257
450	210	256
451	211	256
452	211	255
453	211	254
454	212	254
455	212	253
456	212	252
457	213	252
458	213	251
459	213	251
460	214	250
461	214	249
462	214	249
463	215	248
464	215	247
465	215	247
466	216	246
467	216	246
468	216	245
469	217	244
470	217	244
471	217	243
472	218	242
473	218	242
474	218	241
475	219	241
476	219	240
477	219	239
478	220	239
479	220	238
480	220	238
481	221	237
482	221	236
483	221	236
484	222	235
485	222	235
486	222	234
487	223	234
488	223	233
489	223	232
490	224	232
491	224	231
492	224	231
493	225	230
494	225	229
495	225	229
496	225	228
497	226	228
498	226	227
499	226	226
500	227	226
501	227	225
502	227	225
503	228	224
504	228	223
505	228	223
506	229	222
507	229	222
508	229	221
509	230	221
510	230	220
511	230	220
512	231	219
513	231	218
514	231	218
515	232	217
516	232	217
517	232	216
518	233	216
519	233	215
520	233	214
521	234	214
522	234	213
523	234	213
524	235	212
525	235	212
526	235	211
527	236	210
528	236	210
529	236	209
530	236	209
531	237	208
532	237	208
533	237	207
534	238	207
535	238	206
536	238	205
537	239	205
538	239	204
539	239	204
540	240	203
541	240	203
542	240	202
543	241	202
544	241	201
545	241	201
546	242	200
547	242	199
548	242	199
549	243	198
550	243	198
551	243	197
552	244	197
553	244	196
554	244	196
555	245	195
556	245	195
557	245	194
558	246	194
559	246	193
560	246	193
561	247	192
562	247	192
563	247	191
564	247	190
565	248	190
566	248	189
567	248	189
568	249	188
569	249	188
570	249	187
571	250	187
572	250	186
573	250	186
574	251	185
575	251	185
576	251	184
577	252	184
578	252	183
579	252	183
580	253	182
581	253	182
582	253	181
583	254	180
584	254	180
585	254	179
586	255	179
587	255	178
588	255	178
589	256	177
590	256	177
591	256	176
592	256	176
593	257	175
594	257	175
595	257	174
596	258	174
597	258	173
598	259	173
599	259	172
600	259	172
601	259	171
602	260	171
603	260	170
604	260	170
605	261	169
606	261	169
607	261	168
608	262	168
609	262	167
610	262	167
611	263	166
612	263	166
613	263	165
614	264	165
615	264	164
616	264	164
617	265	163
618	265	163
619	265	162
620	266	162
621	266	161
622	266	161
623	267	160
624	267	160
625	267	159
626	267	159
627	268	158
628	268	158
629	268	157
630	269	157
631	269	156
632	269	156
633	270	155
634	270	155
635	270	154
636	271	154
637	271	154
638	271	153
639	272	153
640	272	152
641	272	152
642	273	151
643	273	151
644	273	150
645	273	150
646	274	149
647	274	149
648	275	148
649	275	148
650	275	147
651	276	147
652	276	146
653	276	146
654	277	145
655	277	145
656	277	144
657	278	144
658	278	144
659	278	143
660	279	143
661	279	142
662	279	142
663	279	141
664	280	141
665	280	140
666	281	140
667	281	139
668	281	139
669	282	138
670	282	138
671	282	138
672	283	137
673	283	137
674	283	136
675	284	136
676	284	135
677	284	135
678	285	134
679	285	134
680	285	133
681	286	133
682	286	132
683	286	132
684	287	132
685	287	131
686	287	131
687	288	130
688	288	130
689	288	129
690	289	129
691	289	128
692	289	128
693	290	127
694	290	127
695	290	127
696	291	126
697	291	126
698	291	125
699	292	125
700	292	124
701	292	124
702	293	123
703	293	123
704	293	122
705	293	122
706	294	121
707	294	121
708	294	121
709	295	120
710	295	120
711	295	119
712	296	119
713	296	118
714	296	118
715	297	117
716	297	117
717	297	116
718	298	116
719	298	116
720	298	115
721	299	115
722	299	114
723	299	114
724	300	113
725	300	113
726	300	112
727	301	112
728	301	112
729	301	111
730	302	111
731	302	110
732	302	110
733	303	109
734	303	109
735	303	108
736	304	108
737	304	108
738	304	107
739	304	107
740	305	106
741	305	106
742	306	105
743	306	105
744	306	104
745	307	104
746	307	104
747	307	103
748	308	103
749	308	102
750	308	102
751	309	101
752	309	101
753	309	101
754	310	100
755	310	100
756	310	99
757	310	99
758	311	98
759	311	98
760	311	97
761	312	97
762	312	97
763	312	96
764	313	96
765	313	95
766	313	95
767	314	94
768	314	94
769	314	94
770	315	93
771	315	93
772	315	92
773	316	92
774	316	91
775	316	91
776	316	90
777	317	90
778	317	90
779	317	89
780	318	89
781	318	88
782	318	88
783	319	87
784	319	87
785	320	87
786	320	86
787	320	86
788	321	85
789	321	85
790	321	85
791	322	84
792	322	84
793	322	83
794	323	83
795	323	82
796	324	82
797	324	82
798	324	81
799	325	81
800	325	80
801	325	80
802	325	79
803	326	79
804	326	79
805	326	78
806	327	78
807	327	77
808	327	77
809	328	76
810	328	76
811	328	76
812	329	75
813	329	75
814	329	74
815	330	74
816	330	74
817	330	73
818	330	73
819	331	72
820	331	72
821	332	71
822	332	71
823	332	71
824	332	70
825	333	70
826	333	69
827	333	69
828	334	68
829	334	68
830	334	68
831	335	67
832	335	67
833	335	66
834	336	66
835	336	66
836	336	65
837	337	65
838	337	64
839	337	64
840	338	63
841	338	63
842	338	63
843	339	62
844	339	62
