iter	Passed	Remaining
0	0	617
1	0	487
2	1	443
3	1	433
4	2	420
5	2	413
6	2	417
7	3	410
8	3	400
9	3	395
10	4	391
11	4	387
12	5	383
13	5	379
14	5	378
15	6	379
16	6	376
17	6	373
18	7	372
19	7	371
20	7	369
21	8	368
22	8	369
23	9	372
24	9	371
25	9	370
26	10	368
27	10	366
28	10	364
29	11	364
30	11	363
31	12	363
32	12	366
33	12	366
34	13	365
35	13	364
36	13	362
37	14	362
38	14	361
39	15	361
40	15	359
41	15	358
42	16	358
43	16	357
44	16	356
45	17	355
46	17	354
47	17	354
48	18	353
49	18	353
50	18	352
51	19	351
52	19	350
53	19	349
54	20	349
55	20	348
56	21	348
57	21	347
58	21	346
59	22	346
60	22	346
61	22	345
62	23	345
63	23	345
64	23	344
65	24	344
66	24	343
67	25	343
68	25	344
69	25	344
70	26	343
71	26	342
72	26	342
73	27	342
74	27	341
75	28	340
76	28	340
77	28	339
78	29	338
79	29	337
80	29	338
81	30	338
82	30	335
83	30	334
84	31	333
85	31	333
86	31	333
87	32	333
88	32	333
89	32	332
90	33	333
91	33	332
92	34	332
93	34	333
94	34	332
95	35	332
96	35	332
97	36	331
98	36	330
99	36	329
100	36	329
101	37	328
102	37	327
103	38	327
104	38	326
105	38	327
106	39	326
107	39	326
108	39	326
109	40	326
110	40	325
111	40	324
112	41	324
113	41	323
114	42	323
115	42	322
116	42	321
117	42	320
118	43	320
119	43	319
120	43	319
121	44	317
122	44	317
123	44	316
124	45	316
125	45	316
126	45	315
127	46	315
128	46	314
129	47	314
130	47	314
131	47	313
132	48	313
133	48	313
134	48	312
135	49	311
136	49	311
137	49	310
138	50	310
139	50	309
140	50	309
141	50	307
142	51	307
143	51	306
144	51	306
145	52	305
146	52	304
147	52	304
148	53	304
149	53	304
150	54	306
151	54	306
152	55	306
153	55	305
154	55	305
155	56	304
156	56	304
157	56	303
158	57	302
159	57	302
160	57	301
161	58	300
162	58	300
163	58	299
164	59	298
165	59	298
166	59	297
167	60	297
168	60	296
169	60	296
170	61	295
171	61	295
172	61	295
173	62	294
174	62	294
175	62	294
176	63	293
177	63	293
178	63	293
179	64	292
180	64	292
181	64	291
182	65	291
183	65	291
184	66	291
185	66	290
186	66	290
187	67	289
188	67	289
189	68	292
190	69	292
191	69	292
192	69	292
193	70	292
194	70	292
195	71	292
196	71	292
197	72	291
198	72	291
199	72	291
200	73	291
201	73	291
202	74	290
203	74	290
204	74	289
205	75	289
206	75	289
207	75	288
208	76	288
209	76	287
210	76	287
211	77	286
212	77	286
213	77	286
214	78	285
215	78	285
216	78	284
217	79	284
218	79	284
219	80	283
220	80	283
221	80	283
222	81	282
223	81	282
224	81	281
225	82	281
226	82	281
227	82	280
228	83	280
229	83	279
230	83	279
231	84	279
232	84	278
233	85	278
234	85	278
235	85	277
236	86	277
237	86	276
238	86	276
239	87	275
240	87	275
241	87	275
242	88	274
243	88	274
244	88	273
245	89	273
246	89	272
247	89	272
248	90	272
249	90	271
250	90	271
251	91	270
252	91	270
253	91	270
254	92	269
255	92	269
256	93	269
257	93	268
258	93	268
259	94	268
260	94	267
261	94	267
262	95	266
263	95	266
264	95	265
265	96	265
266	96	264
267	96	264
268	97	264
269	97	263
270	97	263
271	98	263
272	98	262
273	99	262
274	99	261
275	99	261
276	99	260
277	100	260
278	100	260
279	101	259
280	101	259
281	101	259
282	102	258
283	102	258
284	102	258
285	103	257
286	103	257
287	103	256
288	104	256
289	104	256
290	104	255
291	105	255
292	105	254
293	105	254
294	106	253
295	106	253
296	106	252
297	107	252
298	107	252
299	107	251
300	108	251
301	108	250
302	108	250
303	109	250
304	109	249
305	109	249
306	110	249
307	110	248
308	111	248
309	111	247
310	111	247
311	112	247
312	112	247
313	112	246
314	113	246
315	113	246
316	114	245
317	114	245
318	114	244
319	114	244
320	115	243
321	115	243
322	116	243
323	116	242
